Марка авто,Модель
Acura,
,MDX
Alfa Romeo,
,Giulietta
Audi,
,80
,100
,A1
,A3
,A4
,A5
,A6
,A7
,A8
,Q3
,Q5
,Q7
,R8
,RS6
,S5
,S8
,TT
BAW,
,FENIX
BAZ,
,A079 Etalon
BMW,
,1 Series
,3 Series
,4 Series
,5 Series
,6 Series
,7 Series
,X1
,X3
,X4
,X5
,X6
,Z3
,Z4
Brilliance,
,V5
BYD,
,F3
Cadillac,
,CTS
,Escalade
,SRX
Carrus,
,Star
Chery,
,Amulet A15
,Fora
,Kimo S12
,Tiggo
,Tiggo 5
,Tiggo T11
Chevrolet,
,Aveo
,Blazer
,Camaro
,Caprice
,Captiva
,Cobalt
,Cruze
,Epica
,Express
,Lacetti
,Lanos
,Niva
,Orlando
,Rezzo
,Spark
,Suburban
,Tahoe
,TrailBlazer
Chrysler,
,300
,300С
,Grand Voyager
,PT Cruiser
,Pacifica
,Sebring
,Town and Country
,Voyager
Citroen,
,BX
,Berlingo
,C1
,C2 C3
,C3 Picasso
,C4
,C4 AirCross
,C4 Picasso
,C5
,C Crosser
,C Elysee
,DS3
,DS4
,Grand C4 Picasso
,Jumper
,Jumpy
,Xantia
,Xsara
Daewoo,
,BS106
,Espero
,Gentra
,Lanos
,Leganza
,Matiz
,Nexia
,Nubira
DAF,
,95
,CE
,XF
Datsun,
,mi DO
,on DO
Dodge,
,Caliber
,Caravan
,Challenger
,Grand Caravan
,Ram
,Stratus
DW Hower,
,H3
Emgrand,
,EC7
FAW,
,Besturn B50
,V5
FIAT,
,500
,Albea
,Bravo
,Doblo
,Ducato
,Grande Punto
,Linea
,Panda
,Punto
,Scudo
,Stilo
,Uno
Ford,
,C Max
,Cargo
,EcoSport
,Escape
,Escort
,Expedition
,Explorer
,F 150
,Fiesta
,Focus
,Focus C Max
,Fusion
,Galaxy
,Granada
,Ка
,Kuga
,Maverick
,Mondeo
,Mustang
Foton,
,Auman
Freightliner,
,Century Class
,Columbia
GAZ,
,52
,53
